,SMILES
740,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
741,NC(=O)OCC(COC(N)=O)c1ccccc1
742,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O
743,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
744,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
745,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
746,O=C(Nc1ccc2c(=O)cc(-c3nnn[nH]3)oc2c1)c1ccc(OCCCCc2ccccc2)cc1
747,COC(=O)Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1
748,Cl.Clc1ccc2nsnc2c1NC1=NCCN1
749,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
750,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
751,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
752,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
753,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl
754,CCCc1cc(C(N)=S)ccn1
755,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
756,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
757,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
758,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2
759,CC(N)C12CC3CC(CC(C3)C1)C2
760,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
761,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
762,Cl.Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
763,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1.O=[N+]([O-])O
764,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1
765,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl
766,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
767,CC(S)C(=O)NCC(=O)O
768,CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1
769,O=C(CS(=O)Cc1ccco1)NC/C=C\COc1cc(CN2CCCCC2)ccn1
770,COc1nc(C)nc(Cl)c1NC1=NCCN1
771,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
772,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.Cl
773,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
774,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1
775,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl
776,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
777,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl
778,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
779,Cc1cccc([C@H](C)c2cnc[nH]2)c1C.Cl
780,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
781,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
782,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O.Cl
783,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1.CS(=O)(=O)O
784,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O
785,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F
786,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1.Cl
787,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2.Cl
788,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O
789,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
790,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12.Cl
791,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
792,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
793,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl
794,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
795,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
796,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
797,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
798,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl
799,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
800,CN1C2=CC(=O)/C(=N\NC(N)=O)C=C2CC1S(=O)(=O)[O-].[Na+]
801,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O
802,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2
803,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
804,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
805,CC(=O)Oc1ccccc1C(=O)O
806,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
807,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
808,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1.CCO
809,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl
810,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
811,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1.[KH]
812,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1
813,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
814,Cl.O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
815,Br.COC(=O)C1=CCCN(C)C1
816,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
817,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O
818,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)C[C@H](O)C(=O)O
819,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12.Cl
820,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl
821,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21
822,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
823,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1
824,C=CCNC(N)=S
825,CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2
826,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl
827,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
828,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl
829,O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O
830,O=C(O)c1cc(O)c2c(c1)[C@@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O
831,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+]
832,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
833,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
834,COc1ccc2cc(CCC(C)=O)ccc2c1
835,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
836,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
837,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
838,Cn1c([N+](=O)[O-])cnc1COC(N)=O
839,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl
840,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O[Na])C(C)(C)S[C@H]12.O
841,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
842,O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+]
843,Cl.c1ccc2c(c1)CCCC2C1=NCCN1
844,Cc1cc(-n2c(=O)[nH]c(=O)n(C)c2=O)ccc1Oc1ccc(SC(F)(F)F)cc1
845,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1.Cl
846,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1
847,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O
848,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
849,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O
850,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O[Na])C(C)(C)S[C@H]12.O
851,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
852,Nc1ccc(C(=O)[O-])c(O)c1.[Na+]
853,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
854,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
855,CCOC(=O)n1ccn(C)c1=S
856,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-]
857,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
858,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
859,Cl.N=C(N)N
860,Cc1cccc(Nc2ccccc2C(=O)O)c1C
861,COc1ccc(O)cc1
862,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
863,CC(C)[C@H](N)C(=O)OCC(CO)OCN1C=NC2C(=O)NC(N)=NC21.Cl
864,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O
865,CC(=O)O.N=C(N)N/N=C/c1c(Cl)cccc1Cl
866,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
867,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1.[Na+]
868,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
869,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
870,CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl
871,C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2.[Br-]
872,Br.CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2
873,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
874,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-]
875,Cl.Cl.NCCc1c[nH]cn1
876,OC[C@@H](O)CN1CCN(c2ccccc2)CC1
877,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.CS(=O)(=O)O.O.O
878,O=C(CCCc1ccccc1)O[Na]
879,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
880,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
881,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O
882,Cl.c1ccc(CC2=NCCN2)cc1
883,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC
884,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O.O.O.O
885,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O.O.O
886,CN1CCN(C(c2ccccc2)c2ccccc2)CC1.Cl.Cl
887,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
888,CCCCCCCCCCCCCCCCO
889,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1.O.[Na+]
890,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl
891,O=C(O)CCNC(=O)c1ccccc1
892,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
893,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
894,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
895,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
896,O=c1[nH]c2cc(Cl)ccc2o1
897,C[N+](C)(C)CCO.[Cl-]
898,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
899,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1
900,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
901,CC(C)NCC(O)c1ccccc1Cl.Cl
902,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O
903,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1[O-].[Na+]
904,O=c1ccc2ccccc2o1
905,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1
906,Nc1nc(N)nc(NC2CC2)n1
907,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1
908,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
909,OCC(O)CN1CCN(c2ccccc2)CC1
910,CCNCC.O=S(=O)(O)c1cc(O)ccc1O
911,CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@@H]1C(=O)[O-].[Na+]
912,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1
913,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
914,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
915,O=C(Nc1ccccc1)c1ccccc1O
916,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
917,N=C(N)NS(=O)(=O)c1ccc(N)cc1
918,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
919,CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1
920,NC(CO)(CO)CO
921,O=c1cc[nH]c(=O)[nH]1
922,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O
923,CCC1(C)CC(=O)NC(=O)C1
924,COc1c2ccoc2cc2oc(=O)ccc12
925,Oc1c(Br)cc(Br)c2cccnc12
926,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C
927,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
928,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)OC([C@H]2C)[C@]1(C)O
929,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
930,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O
931,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O
932,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1
933,Cl.O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1
934,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
935,Cl.Nc1ccc(/N=N/c2ccccc2)c(N)n1
936,Cl.NCCc1c[nH]c2ccc(O)cc12
937,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
938,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
939,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl
940,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
941,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
942,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1
943,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
944,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O
945,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl
946,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
947,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
948,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
949,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
950,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
951,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.Cl
952,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC.Cl.Cl
953,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1.O=C(O)CCC(=O)O
954,CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl
955,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
956,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
957,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1
958,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
959,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
960,CCOC(=O)c1ccc(N)cc1
961,O=C(O)c1ccccc1
962,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
963,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
964,CC(C)(C)C1CCC(CC2=C(O)C(=O)c3ccccc3C2=O)CC1
965,O=C(O)c1cc(=O)c2ccccc2o1
966,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
967,Cl.NCCS
968,OC[C@H](O)[C@H](O)CO
969,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C\[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C
970,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
971,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
972,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+]
973,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
974,Cc1cccc(C)c1OCC(C)N.Cl
975,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
976,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
977,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl
978,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O
979,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl
980,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.[Na+]
981,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl
982,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1.O=C(O)CCC(=O)O
983,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.[Na+]
984,CCC(=O)c1c(O)cc(O)cc1O
985,*.Cl.N[C@@H]1C[C@H]1c1ccccc1
986,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
987,Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12
988,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1.Cl.Cl
989,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
990,O=c1c(-c2ccc(O)cc2)coc2cc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12
991,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl
992,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
993,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl
994,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
995,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
996,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
997,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
998,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
999,CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
1000,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
1001,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
