,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings,SMILES
1892,0.0,0.0,0,0,0.0,0,0,0.0,0,*
1893,139.030314148,-0.7769999999999997,4,3,1.0,3,0,80.39,0,NCCCS(=O)(=O)O
1894,537.273618028,-0.9704999999999953,8,4,0.9615384615384616,7,4,146.99,0,*.C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O.[Na+]
1895,309.105981188,-3.871799999999999,10,7,0.8181818181818182,5,1,176.77999999999997,0,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
1896,175.095691276,-1.1531999999999993,6,6,0.6666666666666666,5,0,118.44000000000001,0,NC(=O)NCCCC(N)C(=O)O
1897,511.1128369919999,-3.368999999999996,14,6,0.3,10,3,225.76,2,Nc1nc(O)c2c(n1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2]
1898,254.99969554599997,-8.636130000000003,8,3,0.5,3,0,139.61,0,CN(CC(=O)O)C(=N)NP(=O)([O-])[O-].[Na+].[Na+]
1899,238.099379688,3.443200000000002,2,0,0.0625,4,2,26.3,2,O=C(/C=C/c1ccccc1)OCc1ccccc1
1900,142.026608672,-0.1623,4,2,0.16666666666666666,1,1,70.67,1,O=c1cc(CO)occ1O
1901,398.137238804,-3.256899999999996,11,6,0.6,7,3,185.45999999999998,2,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
1902,272.08960285200004,-1.4291000000000003,7,5,0.5,3,2,119.61000000000001,1,OC[C@H]1O[C@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
1903,326.199428072,3.3972000000000024,4,1,0.55,4,5,45.59,2,CC[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
1904,898.5078570480001,5.911600000000009,14,3,0.78,7,8,170.05999999999997,0,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
1905,212.068473484,1.3701999999999999,5,3,0.3,3,1,86.99000000000001,1,CCCOC(=O)c1cc(O)c(O)c(O)c1
1906,176.047344116,1.8016,3,0,0.1,1,2,39.44,2,COc1ccc2ccc(=O)oc2c1
1907,304.22497412399997,2.466300000000001,5,4,0.9375,15,0,97.99000000000001,0,O=C(O)CCCCCCC[C@@H](O)[C@@H](O)CCCCCCO
1908,150.05282342,-2.5823000000000005,5,4,1.0,0,1,90.15,0,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O
1909,0.0,0.0,0,0,0.0,0,0,0.0,0,*
1910,75.0320284,-0.9702999999999999,3,3,0.5,1,0,63.32000000000001,0,NCC(=O)O
1911,444.153265728,-0.3475999999999985,10,7,0.4090909090909091,2,4,181.62,1,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
1912,478.114293376,0.4390000000000007,10,7,0.4090909090909091,2,4,181.61999999999998,1,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
1913,401.29299410799996,7.356520000000009,4,0,0.68,16,2,52.33,2,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1
1914,531.180395212,4.462700000000003,8,0,0.46153846153846156,8,5,64.88000000000001,3,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
1915,563.182517256,0.7549999999999994,11,5,0.48148148148148145,7,4,164.01000000000002,2,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2
1916,348.176167764,2.4846000000000004,5,1,0.4444444444444444,5,3,54.18,2,C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1
1917,288.06407386399997,-1.6079999999999988,10,8,0.0,0,2,182.93999999999997,2,N/N=c1\[nH][nH]/c(=N\N)c2ccccc12.O=S(=O)(O)O
1918,322.05004087200007,1.4908000000000003,6,2,0.0,3,3,89.18,3,Nc1ccc(S(=O)(=O)N([Na])c2cnc3ccccc3n2)cc1
1919,526.2804776199999,4.490400000000005,8,2,0.6666666666666666,0,5,106.81000000000002,0,*.*[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4/C(=N/O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
1920,557.1757920639998,0.02180000000000354,15,10,0.16,10,3,272.3299999999999,2,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
