SMILES,pIC50
N=C(N)N1CCC(C[C@H]2C(=O)N(C(=O)Nc3ccccc3)[C@@H]2C(=O)O)CC1,6.288
O=C(NCc1ccc(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)cc1)Oc1ccccc1,6.201
O=C(NCCc1ccccc1)c1ccc(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)cc1,6.168
O=C(CCNC(=O)OCc1ccccc1)OCN1C(=O)c2ccccc2S1(=O)=O,6.069
COc1ccc(CN)cc1NC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O,6.051
O=C(O)CN(C(=O)CNC(=O)OCN1C(=O)c2ccccc2S1(=O)=O)C(=O)OCc1ccccc1,6.046
O=C(NCc1ccccc1)Nc1ccc(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)cc1,6.022
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(Cc4ccccc4)cc3)C2=O)c1,6.009
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(C4CCCCC4)cc3)C2=O)c1,6.009
N=C(N)NCCC[C@H]1C(=O)N(C(=O)Nc2ccccc2)[C@@H]1C(=O)O,6.003
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](Cc3ccc(N)nc3)[C@H]2C(=O)O)CC1)C(C)C,5.978
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCC3CCNCC3)[C@H]2C(=O)O)CC1)C(C)C,5.916
Cc1ccc(-c2ccc(C(=O)NC3CCCCN(CC(=O)Nc4cccc(CN)c4)C3=O)cc2)cc1,5.886
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccc(Cl)c(Cl)c4)cc3)C2=O)c1,5.678
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNC3)[C@H]2C(=O)O)CC1)C(C)C,5.584
CCc1ccc(-c2ccc(C(=O)NC3CCCCN(CC(=O)Nc4cccc(CN)c4)C3=O)cc2)cc1,5.538
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)CCCCc3ccccc3)C2=O)c1,5.538
